tracking_id	XH_1916	XH_1917	XH_1918	XH_1919	XH_1920	XH_1921	XH_1922	XH_1923	XH_1924
ENSMUSG00000032420	1.06645	0.77959	1.03309	1.03809	4.96174	1.36821	5.80021	1.24096	5.56981	
ENSMUSG00000032422	8.62999	7.03926	8.98476	8.85427	9.99973	7.72867	8.23757	8.07453	7.10565	
ENSMUSG00000032423	103.6	86.3534	108.024	137.742	145.842	96.4758	113.342	94.7728	99.2929	
ENSMUSG00000032425	2.98821	2.86663	1.64854	3.22321	3.01798	2.76294	2.97213	2.80492	3.44536	
ENSMUSG00000032431	53.7013	55.3337	51.9024	40.2043	33.3744	54.3627	53.1377	62.8081	58.907	
ENSMUSG00000032434	15.8005	18.2553	18.8023	22.3835	23.2784	18.9858	21.1981	17.3738	20.591	
ENSMUSG00000032435	33.1792	31.9319	29.5751	38.6595	34.6248	30.9843	30.9414	31.5286	31.7868	
ENSMUSG00000032436	20.613	14.7958	12.7167	11.2035	11.8959	15.1056	16.2152	13.7957	17.5887	
ENSMUSG00000032437	29.0321	26.2898	26.8048	34.5309	29.2165	26.9229	28.7529	26.1781	29.3033	
ENSMUSG00000032440	1.17429	1.66739	1.60123	1.30499	1.27572	1.46217	1.20124	1.90793	1.14039	
ENSMUSG00000032443	0.03834	0.0583117	0.246797	0	0	0.0654825	0.0491929	0	0.0233939	
ENSMUSG00000032446	4.1244	1.85651	2.21613	2.37773	1.329	2.64165	2.14126	2.58135	1.63193	
ENSMUSG00000032449	53.2781	24.8164	25.5769	50.1122	38.9885	27.4077	30.8086	24.4433	32.6711	
ENSMUSG00000032451	0	0	0	0	0	0	0.0091551	0	0	
ENSMUSG00000032452	0.0557459	0.0611887	0.0458654	0.0749523	0.0410963	0.0692828	0.0904386	0.0255025	0.0501281	
ENSMUSG00000032454	0	0	0	0	0	0	0.155104	0.486634	0.102317	
ENSMUSG00000032456	0.590612	0.501482	0.540918	0.471546	1.0085	0.309754	0.195797	0.687634	0.361022	
ENSMUSG00000032458	71.9478	79.3894	77.6144	78.3853	81.3246	86.2635	83.2183	82.2665	79.611	
ENSMUSG00000032459	32.6159	34.5601	34.6038	36.0499	43.2351	36.5349	34.0733	30.4026	37.064	
ENSMUSG00000032462	11.1795	11.4305	12.7174	12.7577	12.2796	12.3008	12.1665	11.6396	10.4647	
ENSMUSG00000032463	29.4185	30.1341	28.3872	34.0438	37.4641	31.48	27.3975	31.5084	26.6958	
ENSMUSG00000032468	16.6858	15.0918	15.4411	16.971	16.4563	16.6777	15.7581	15.8624	15.5378	
ENSMUSG00000032469	35.0794	29.7291	31.3125	26.3652	32.5999	30.8139	25.2056	29.9451	26.1435	
ENSMUSG00000032470	14.4729	7.52946	4.43928	10.6328	11.9909	7.13032	14.8843	7.12799	14.7079	
ENSMUSG00000032473	0	0	0.0402259	0	0.113123	0	0	0	0.0301943	
ENSMUSG00000032475	15.9393	16.7891	17.1536	20.3381	20.1553	19.8788	20.5927	18.2935	17.6871	
ENSMUSG00000032477	42.2376	37.6391	44.6968	46.3228	46.1103	37.7906	39.4799	37.6902	38.9842	
ENSMUSG00000032478	29.9937	36.0396	36.133	37.3285	29.6475	35.8817	34.6931	35.6837	35.0784	
ENSMUSG00000032479	73.692	86.2952	90.6394	95.3567	89.4814	85.9903	94.0172	77.009	90.9205	
ENSMUSG00000032480	53.6373	64.5226	54.5523	56.6012	37.4422	66.1909	49.3357	65.9144	50.7465	
ENSMUSG00000032481	94.6209	84.1815	92.2258	96.6668	100.75	85.4155	84.8749	83.0101	85.1652	
ENSMUSG00000032482	0.58102	0.426622	0.29888	0.494693	0.939759	0.201947	0.857925	0.307586	1.09186	
ENSMUSG00000032484	0	0	0	0	0	0	0	0	0	
ENSMUSG00000032485	18.6638	21.5576	21.0851	15.9979	16.6341	27.9678	16.1418	24.5886	18.3373	
ENSMUSG00000032487	7.63388	5.15298	5.29922	5.68656	5.9949	5.50105	5.50982	4.99369	3.98136	
ENSMUSG00000032489	0.292408	0.478655	0.374431	0.439816	0.550009	0.549476	0.585023	0.314123	0.547596	
ENSMUSG00000032491	10.19	11.6969	11.6976	6.28664	8.61084	13.4025	12.2077	11.7043	13.0085	
ENSMUSG00000032492	1.92626	3.58004	3.49758	2.89867	1.74973	3.76372	1.69415	3.48507	1.67377	
ENSMUSG00000032493	0.580747	0.662348	0.598983	0.16501	0.21365	0.52885	0.406553	0.734099	0.252571	
ENSMUSG00000032494	238.062	238.669	261.631	331.5	347.418	270.696	337.867	282.872	329.973	
ENSMUSG00000032495	1.68528	1.91451	2.5327	7.56724	8.43063	2.36035	5.60473	2.2566	5.84464	
ENSMUSG00000032496	0	0	0	0.517467	0.13584	0.129617	0.0799978	0.15758	0.170166	
ENSMUSG00000032497	21.3138	26.0667	23.6146	30.4183	28.2919	21.8615	24.0633	22.7187	22.4747	
ENSMUSG00000032498	21.2756	19.5163	17.1694	17.9424	14.7101	17.1864	19.4815	15.2948	17.0536	
ENSMUSG00000032500	0.0361862	0.0714825	0.142415	0.22448	0.491538	0.0786972	0.332017	0.144362	0.166724	
ENSMUSG00000032501	11.0451	5.37167	5.19598	5.66129	4.78502	4.79161	4.61407	5.96479	5.01069	
ENSMUSG00000032502	0	0	0.0326863	0	0	0	0.020313	0	0.0850966	
ENSMUSG00000032503	0.0151824	0	0.0243446	0	0	0.0253441	0.0329924	0.0311261	0.00930143	
ENSMUSG00000032504	33.9193	30.1441	30.302	30.8101	34.0526	28.4969	25.087	29.2917	27.5458	
ENSMUSG00000032507	3.09877	2.47293	3.55615	1.72987	2.10583	2.64748	2.33157	2.93858	2.6446	
ENSMUSG00000032508	5.71789	5.13671	4.98414	4.99659	4.31129	6.43088	4.44993	4.33636	4.55861	
ENSMUSG00000032511	0.145716	0.212779	0.221606	0.133974	0.26775	0.156073	0.220805	0.180246	0.253748	
ENSMUSG00000032512	21.3615	18.6612	20.6883	25.1373	19.4207	20.3736	19.1723	18.4296	18.6863	
ENSMUSG00000032513	10.4291	10.4031	10.0123	7.59757	7.69629	8.35258	7.96579	9.20187	10.3565	
ENSMUSG00000032514	0.400791	0.45338	0.450079	0.680145	0.88546	0.354913	0.52898	0.413314	0.677485	
ENSMUSG00000032515	24.7368	15.4285	15.12	18.5165	15.7496	15.545	19.0207	14.5706	17.9983	
ENSMUSG00000032517	10.0114	12.9939	8.30335	13.2194	15.3379	13.3121	14.7073	8.00607	21.4004	
ENSMUSG00000032518	3343.11	2677.03	2027.54	1891.63	1711.99	2230.37	1921	2436.87	2392.3	
ENSMUSG00000032519	14.5674	17.6374	15.6401	13.3099	13.9224	18.0167	17.175	17.6685	18.3015	
ENSMUSG00000032523	0	0.0324264	0.0689366	0	0	0.166055	0.0134494	0.0326701	0.0440889	
ENSMUSG00000032525	38.872	32.6368	35.9447	43.4333	49.0622	32.2603	39.0109	31.5969	30.0899	
ENSMUSG00000032526	22.9162	21.4187	19.4653	20.6463	24.4058	21.3183	22.7679	20.1365	24.715	
ENSMUSG00000032527	14.747	20.2174	14.523	19.6102	23.2095	16.2578	20.5543	16.0696	22.6957	
ENSMUSG00000032528	0.108483	0.170666	0.164316	0.165651	0.181721	0.163832	0.162561	0.172525	0.221098	
ENSMUSG00000032530	0	0	0	0	0.294027	0	0.289279	0	0.309045	
ENSMUSG00000032531	78.8505	35.1091	32.3022	40.3779	43.7689	38.8838	35.8372	37.1524	37.3347	
ENSMUSG00000032532	1.06878	0.913004	0.971986	1.00228	0.760778	0.620957	0.923277	1.21583	0.872518	
ENSMUSG00000032534	18.4071	14.1897	12.5888	15.6373	17.2698	16.7907	12.4282	14.0518	13.1203	
ENSMUSG00000032536	30.3523	28.0899	21.8914	34.5947	24.6758	20.5544	19.4762	23.8677	25.683	
ENSMUSG00000032537	0.0285372	0.0855509	0.197064	0.104704	0.0525303	0.141479	0.138063	0.130068	0.098495	
ENSMUSG00000032540	5.84274	4.76709	6.88326	5.57885	5.03956	7.52928	6.76739	7.34067	4.63605	
ENSMUSG00000032547	23.6691	22.1994	22.3513	25.5228	28.342	22.9317	24.012	21.5897	22.5518	
ENSMUSG00000032548	0.418588	0.326435	0.238813	0.477242	0.913403	0.514683	0.616258	0.387972	0.584359	
ENSMUSG00000032549	4.90981	3.98572	3.55819	3.23957	3.12758	3.3421	2.04123	3.39641	2.8202	
ENSMUSG00000032551	2.4757	1.86833	3.44926	3.66948	2.01615	1.86686	4.20314	2.56504	2.89578	
ENSMUSG00000032553	11.4058	15.6362	17.1268	14.2592	13.4872	18.6959	15.9585	16.287	16.3904	
ENSMUSG00000032554	7.95645	10.5714	8.62242	9.89874	6.65765	11.191	5.54632	10.3618	10.0667	
ENSMUSG00000032555	77.592	73.0609	70.0119	75.0792	73.017	76.1749	70.5688	72.6945	72.6883	
ENSMUSG00000032556	0.0422962	0.435868	0.324575	1.22208	0.656696	0.496579	0.923838	0.1742	0.420967	
ENSMUSG00000032557	17.9594	20.7754	19.8989	28.9013	22.958	16.5619	27.0991	23.0154	26.4095	
ENSMUSG00000032558	5.24086	4.54565	3.34311	6.61762	3.75948	5.71287	5.56025	5.89537	3.72906	
ENSMUSG00000032560	39.7499	33.01	28.6792	37.3447	30.2389	31.5069	30.0632	33.7522	30.1557	
ENSMUSG00000032561	0.575548	1.01735	0.726402	1.84501	0.76781	0.672499	0.997589	0.461626	0.897335	
ENSMUSG00000032562	175.714	222.613	147.812	117.037	119.374	204.898	130.114	210.244	169.038	
ENSMUSG00000032563	37.3367	36.5355	40.2484	54.3766	51.0215	32.7986	41.0555	40.5969	41.195	
ENSMUSG00000032564	0.0273214	0	0.0757995	0	0	0.325203	0.0563521	0.0157809	0.054479	
ENSMUSG00000032565	0.743628	1.20923	1.01139	1.46147	1.13508	0.532044	0.862446	0.770796	0.735595	
ENSMUSG00000032566	0	0	0	0	0.270036	0	0	0	0	
ENSMUSG00000032567	6.96111	7.16825	8.08502	12.5564	8.84285	8.54349	9.26293	6.23041	8.06681	
ENSMUSG00000032570	28.4807	29.1557	30.3794	42.8339	43.3658	31.6574	32.5122	27.1	32.0597	
ENSMUSG00000032571	13.932	16.937	15.9438	17.3782	17.2933	17.5986	19.1732	16.6543	18.9949	
ENSMUSG00000032572	0.147452	0.222263	0.366298	0.471392	0.41611	0.376485	0.445731	0.451049	0.347035	
ENSMUSG00000032575	99.9712	102.735	110.403	88.5542	100.965	103.234	119.059	114.39	129.713	
ENSMUSG00000032577	29.0081	24.761	18.2879	13.8396	12.2733	20.4685	14.0832	20.9994	16.276	
ENSMUSG00000032578	2.56301	1.9676	2.11227	1.69283	1.161	1.45784	1.56414	2.37849	2.18587	
ENSMUSG00000032579	3.89469	4.51848	4.5279	7.2501	4.27359	4.16981	4.27081	4.53063	4.86067	
ENSMUSG00000032580	57.4858	51.7506	53.631	44.9063	69.8819	65.3764	51.8909	53.0433	51.8336	
ENSMUSG00000032582	28.7136	26.4024	29.4866	30.4389	38.714	26.6423	27.6495	25.2807	26.5391	
ENSMUSG00000032583	2.6684	3.83617	3.30165	2.47673	3.14993	3.13683	2.59874	2.90721	2.95782	
ENSMUSG00000032584	0.0958526	0.987167	0.129612	1.60916	0.113493	0.0974157	0.101196	0.0896876	0.121793	
ENSMUSG00000032586	12.4704	22.9704	20.2897	20.7329	14.4608	22.9446	20.1984	21.8293	19.4781	
ENSMUSG00000032589	0.185768	0.247533	0.252061	0.0849675	0.186552	0.143114	0.169719	0.305934	0.181829	
ENSMUSG00000032590	14.1774	16.7581	13.5319	16.8678	13.3206	14.7693	13.0449	14.5972	15.5943	
ENSMUSG00000032591	0.282824	0.374033	0.29248	0.938587	0.778572	0.402515	0.532111	0.399384	0.332005	
ENSMUSG00000032593	0.561794	0.791384	0.386389	0.202599	0.443191	0.754809	0.565813	0.625997	0.424709	
ENSMUSG00000032594	25.6686	19.4518	18.0648	127.469	31.8691	20.0386	16.1796	30.6416	21.1168	
ENSMUSG00000032595	0.0916637	0.899957	0.89313	0	0	0.679982	0.337203	0.640902	0.267905	
ENSMUSG00000032596	0.311183	0.683744	0.165041	0.156843	0.19382	0.897518	0.336446	0.308926	0.436813	
ENSMUSG00000032598	9.29159	7.19679	6.11747	7.1798	6.53756	6.77878	7.57286	6.1754	8.61931	
ENSMUSG00000032599	12.8308	17.8041	16.0671	13.6299	18.2219	15.2809	14.537	14.7457	16.4007	
ENSMUSG00000032601	25.6565	21.9623	26.2146	31.895	32.4006	24.1047	22.2771	18.6141	14.9604	
ENSMUSG00000032602	19.4511	39.6779	42.6788	50.4386	41.7243	45.8847	45.6113	40.1583	42.4051	
ENSMUSG00000032604	199.916	196.508	177.976	136.35	144.644	217.695	172.069	220.065	226.725	
ENSMUSG00000032606	9.62756	11.314	9.23714	20.3844	10.8766	15.3292	11.637	10.858	11.549	
ENSMUSG00000032607	58.9639	43.8424	38.4416	49.1719	56.3292	47.3646	52.5032	43.4053	56.1501	
ENSMUSG00000032609	4.2321	4.20211	4.09737	6.11597	5.03396	5.34441	3.33736	4.74221	3.72904	
ENSMUSG00000032611	0.246943	0.439441	0.560471	0	2.74544	0.373271	0.35027	0.222932	0.24348	
ENSMUSG00000032612	31.6538	31.4524	33.9988	31.0381	27.2274	32.9264	33.9205	33.3353	33.9899	
ENSMUSG00000032615	3.16353	6.4597	6.05644	5.14633	5.10892	5.19511	4.40096	5.55346	4.37288	
ENSMUSG00000032621	28.2972	28.6168	36.7349	45.7175	46.6389	35.6151	33.1796	30.1953	27.4987	
ENSMUSG00000032623	0.262986	0.550142	0.511601	0.35072	0.287204	0.36511	0.284816	0.416024	0.489646	
ENSMUSG00000032624	38.6173	35.0039	34.2866	40.1111	38.0845	33.609	33.9752	30.5977	34.6666	
ENSMUSG00000032625	0.116307	0.256418	0.195251	0.250071	0.282233	0.229334	0.177116	0.250805	0.141486	
ENSMUSG00000032633	29.5299	36.41	33.4316	34.2351	24.1613	32.8966	28.0133	33.3904	34.1121	
ENSMUSG00000032637	164.932	141.126	132.973	124.065	125.273	132.838	111.75	131.039	127.746	
ENSMUSG00000032640	8.31474	7.60531	8.62284	7.03292	5.64332	6.53722	5.21391	6.85736	4.97991	
ENSMUSG00000032641	20.6396	14.3738	13.4447	7.35065	8.87991	13.6442	8.42369	14.6306	10.6369	
ENSMUSG00000032643	4.42555	4.56011	3.63156	3.16882	3.48124	4.86021	4.06504	4.80621	4.70272	
ENSMUSG00000032648	1.85154	3.23445	2.28912	2.05015	3.12917	3.26721	2.45576	3.95372	2.49776	
ENSMUSG00000032649	0.0588709	0.12889	0.294244	0.346893	0.488437	0.365464	0.505208	0.251456	0.172659	
ENSMUSG00000032652	1.33013	1.39974	1.28838	2.01039	1.30179	2.14597	2.08746	1.49241	1.57484	
ENSMUSG00000032656	0.997148	1.18884	1.05482	1.74455	1.37455	1.04686	1.30044	0.977438	1.08221	
ENSMUSG00000032657	9.05205	8.86465	9.41902	6.97877	5.78101	8.03003	6.46445	8.35949	8.29407	
ENSMUSG00000032661	1.19022	1.68893	1.33513	0.517284	0.680881	1.95392	0.933406	0.743913	1.34921	
ENSMUSG00000032666	2.86244	3.03298	2.93144	10.1481	7.1038	1.72873	4.04396	2.53867	3.99752	
ENSMUSG00000032667	1.91974	1.61056	1.97278	1.49795	1.33393	3.11381	2.10816	2.46342	0.981767	
ENSMUSG00000032671	0	0	0	0	0	0	0	0	0	
ENSMUSG00000032673	7.47234	8.2434	10.1316	10.7125	16.4227	9.93111	13.2516	8.08965	11.7031	
ENSMUSG00000032679	1.59851	1.48198	1.29621	0.835819	0.353336	1.87551	1.23721	0.680906	0.690022	
ENSMUSG00000032680	0.0609485	0.236165	0.148099	0.257681	0.473437	0.531908	0.0700088	0.127618	0.122633	
ENSMUSG00000032688	7.32723	5.95055	5.8768	12.3094	9.45393	6.13288	5.12258	5.5164	5.55956	
ENSMUSG00000032690	0.325811	0.643397	0.432648	0.979354	1.31161	0.517716	0.997122	0.406667	1.10708	
ENSMUSG00000032691	0.352158	0.416406	0.470956	0.64118	1.37781	0.516474	0.670077	0.416818	0.436422	
ENSMUSG00000032698	1.04353	3.38566	1.56142	1.72386	2.11901	3.15099	0.923452	1.24251	1.00047	
ENSMUSG00000032702	4.42379	6.67652	4.68082	5.31058	6.08164	5.10469	5.91011	4.59881	5.99634	
ENSMUSG00000032705	8.02894	9.51409	10.7587	9.1969	13.0216	10.5491	7.02748	8.3639	9.67283	
ENSMUSG00000032712	19.3963	13.7274	20.3456	31.8659	32.6449	18.3627	25.1845	16.7316	19.912	
ENSMUSG00000032714	1.13532	0.795509	1.05225	0.813686	0.779851	0.928682	1.12547	1.19703	0.830126	
ENSMUSG00000032715	51.9826	34.6486	25.3385	13.2894	10.642	24.9652	8.58601	23.5573	11.1758	
ENSMUSG00000032717	8.55077	8.78626	6.19587	3.073	10.0723	4.17602	4.96432	6.80386	7.01967	
ENSMUSG00000032718	0.348586	0.322382	0.367062	0.510239	0.318755	0.355812	0.342837	0.511149	0.270494	
ENSMUSG00000032719	0.156934	0.0949504	0.104509	0.464951	0.271135	0.238422	0.102689	0.119143	0.158031	
ENSMUSG00000032724	1.27493	1.59243	1.32713	1.43902	1.3555	1.58941	1.2657	1.41448	1.13408	
ENSMUSG00000032725	2.33428	3.72269	1.93574	2.42859	2.50347	3.24911	2.87747	2.29403	2.77482	
ENSMUSG00000032726	0.126172	0.334121	0.286257	0.482249	0.618886	0.41978	0.397771	0.245875	0.440565	
ENSMUSG00000032727	7.29898	8.16604	10.0814	13.2716	19.1086	11.5341	11.7306	7.44789	9.89617	
ENSMUSG00000032733	0.489854	0.34421	0.383976	0.428168	0.234801	0.34	0.293086	0.278333	0.200476	
ENSMUSG00000032735	0.344967	0.578572	0.360799	0.470155	0.558454	0.386724	0.40953	0.368617	0.347634	
ENSMUSG00000032737	32.1953	28.1907	24.9656	21.5555	22.5216	25.8319	23.9995	28.1157	24.4636	
ENSMUSG00000032739	0.399629	0	0.662576	0.460959	0.0839105	0.519351	0.426058	0.365786	0.351307	
ENSMUSG00000032740	3.07512	4.14576	4.61588	6.39576	5.32573	4.4644	4.8428	3.90823	3.46425	
ENSMUSG00000032741	4.19668	4.93107	4.81912	4.14573	5.03999	5.39188	5.29439	5.36137	6.03973	
ENSMUSG00000032743	2.69203	2.31296	2.07318	2.5878	1.91058	2.60969	1.93673	3.0074	2.48468	
ENSMUSG00000032744	0.408916	0.220694	0.191618	0	0.157778	0.131583	0.0428793	0.0701274	0.0563836	
ENSMUSG00000032745	53.9512	43.5874	56.023	83.6147	82.3139	50.1936	62.1084	45.062	54.7797	
ENSMUSG00000032750	0.166823	0.404981	0.471305	0.14913	0.902025	0.029256	0.694584	0.29805	0.295794	
ENSMUSG00000032754	9.3818	9.9508	8.67664	8.78602	8.07812	10.1023	9.02341	9.61403	11.3517	
ENSMUSG00000032757	28.9787	27.4453	19.1929	20.7131	12.1306	26.5129	22.0115	23.6718	25.9629	
ENSMUSG00000032758	0	0	0	0	0	0	0	0	0	
ENSMUSG00000032763	8.4931	7.46472	4.40473	2.61354	2.57075	5.9254	5.06728	7.90339	5.81093	
ENSMUSG00000032766	1.77092	2.50001	3.28746	1.65794	2.04264	1.48995	2.47887	2.36547	1.55549	
ENSMUSG00000032769	1.62864	1.9477	2.62192	0.904451	1.38962	3.18531	1.6683	2.41316	1.15221	
ENSMUSG00000032773	0.012866	0.0126664	0.0134572	0.0394617	0	0.00905454	0.0209042	0.00835592	0.0154811	
ENSMUSG00000032776	1.51696	1.34905	1.42792	2.78363	1.24628	1.10128	1.26588	2.13985	1.24239	
ENSMUSG00000032777	24.5884	27.9255	29.2086	26.9654	25.6156	32.1476	26.4861	29.9087	27.2109	
ENSMUSG00000032782	12.4238	18.7486	19.758	22.6614	18.7384	19.9425	19.8615	18.017	19.361	
ENSMUSG00000032783	12.6727	12.657	15.4549	13.8672	12.9395	14.926	13.2741	14.2696	13.8233	
ENSMUSG00000032786	31.0483	37.0445	37.9624	35.2586	31.3445	45.6276	33.8427	42.3363	30.4573	
ENSMUSG00000032788	8.85002	8.95358	8.71986	5.78548	5.30698	9.16142	7.0601	9.11338	7.87108	
ENSMUSG00000032796	6.10708	3.78044	3.6545	10.5763	5.54452	5.68131	5.28456	5.35057	6.89206	
ENSMUSG00000032802	22.2945	18.9215	16.4421	9.9028	10.2432	18.1068	9.80014	22.1754	13.869	
ENSMUSG00000032803	142.396	137.109	144.239	156.768	154.131	132.128	133.246	130.791	137.357	
ENSMUSG00000032806	2.51902	2.53978	2.54908	2.35916	2.57521	3.08947	2.87571	3.32532	3.26827	
ENSMUSG00000032807	0.170064	0.449212	0.40576	0.0710351	0.233016	0.421308	0.19503	0.339963	0.272978	
ENSMUSG00000032808	0	0	0	0	0	0	0	0	0	
ENSMUSG00000032812	10.3493	9.65725	7.2806	12.2493	11.8322	8.88814	10.97	10.1629	9.58804	
ENSMUSG00000032815	31.2615	29.3663	29.9137	21.0808	25.3868	31.7074	17.026	28.9434	23.2711	
ENSMUSG00000032816	1.91993	1.83029	1.93393	1.54047	1.13239	2.30495	1.44103	2.54816	1.36823	
ENSMUSG00000032818	0.00749426	0.0308067	0.0169552	0.0433048	0.0281339	0.0667081	0.037414	0.0560747	0.0235763	
ENSMUSG00000032826	3.14474	2.659	2.11838	1.87017	4.39034	2.46893	3.09942	1.75775	1.8087	
ENSMUSG00000032827	8.56734	4.97601	5.80844	8.91594	9.64294	5.5682	5.40431	5.41686	4.15809	
ENSMUSG00000032834	33.5324	37.0338	38.3459	30.0381	32.0378	39.8181	34.4171	37.8754	35.5466	
ENSMUSG00000032839	0.864178	1.01145	0.560512	0.723404	0.572201	0.786276	0.556465	1.11124	0.524344	
ENSMUSG00000032840	7.80117	6.33329	6.95801	4.82128	4.72755	7.5488	5.34368	6.91565	5.77522	
ENSMUSG00000032841	0.528193	0.680418	0.637002	2.53185	0.580565	1.06867	1.16963	0.805693	0.847599	
ENSMUSG00000032842	1.96617	1.64868	2.04869	1.76752	1.75167	1.58995	1.60897	2.04414	2.10539	
ENSMUSG00000032845	0.00524896	0	0	0	0.0235402	0	0.0209644	0	0.00419465	
ENSMUSG00000032846	5.93285	4.7255	4.94938	5.604	4.83331	6.49873	4.99058	4.9544	4.63587	
ENSMUSG00000032849	28.6742	17.0635	14.6669	17.6124	14.122	16.0908	14.6127	16.3685	13.7968	
ENSMUSG00000032850	2.28618	1.69497	2.09427	1.89243	1.9617	2.83052	2.26718	2.24478	2.18028	
ENSMUSG00000032852	0.151396	0.323124	0.367906	0.0730649	0.239632	0.203794	0.133634	0.349309	0.177625	
ENSMUSG00000032854	2.27826	2.04819	2.0168	2.25566	1.74502	2.53721	1.56964	2.01782	1.38036	
ENSMUSG00000032855	5.75789	7.56452	4.62219	8.35876	4.97681	7.92596	3.84525	5.76067	3.57112	
ENSMUSG00000032860	1.12763	1.01129	1.14688	1.39635	1.20959	1.18504	0.860599	1.23729	1.04577	
ENSMUSG00000032864	0	0	0	0	0.105553	0	0	0	0	
ENSMUSG00000032867	19.5063	21.9962	19.6561	16.1612	14.9212	21.7283	16.5169	24.4226	18.8937	
ENSMUSG00000032869	20.0917	23.1294	25.5164	19.6824	17.8503	25.0584	24.7014	23.9049	24.0102	
ENSMUSG00000032870	12.3959	13.8978	16.2934	17.5107	16.1959	13.2316	14.2564	14.2193	15.6765	
ENSMUSG00000032872	18.759	14.661	16.4242	21.5735	26.0273	14.4674	18.6048	13.7839	17.2275	
ENSMUSG00000032875	4.1413	4.28664	4.79262	3.4065	4.13154	4.23155	3.78477	4.51764	3.79214	
ENSMUSG00000032878	3.32152	3.58189	3.37708	3.99567	3.15326	3.02471	3.06777	3.27419	3.1928	
ENSMUSG00000032883	38.5017	39.7045	40.4863	44.6754	35.6048	48.1023	35.9496	34.8503	30.0827	
ENSMUSG00000032889	0.128582	0.530411	0.470412	0.311351	0.333537	0.503886	0.747192	0.264929	0.35179	
ENSMUSG00000032890	4.11132	5.73611	6.15131	5.18874	4.03686	3.96754	4.58401	4.8959	4.42911	
ENSMUSG00000032892	64.8193	102.023	95.8336	63.6444	76.5505	95.4141	83.2719	101.88	105.387	
ENSMUSG00000032894	0	0	0	0	0	0.0818139	0.0912333	0	0	
ENSMUSG00000032897	77.3761	86.8245	69.9088	58.5054	46.8648	78.9185	61.0109	81.3577	75.1136	
ENSMUSG00000032898	26.127	34.1841	29.8794	32.2364	21.6522	32.9938	28.9285	32.6221	30.1093	
ENSMUSG00000032899	0.422492	0.520062	0.279129	0.0987007	1.26846	0.22541	0.473352	0.428898	0.241436	
ENSMUSG00000032900	0	0	0	0	0	0	0	0	0	
ENSMUSG00000032902	38.3328	32.8241	33.4167	31.4978	30.6951	29.714	25.8479	29.2535	29.6765	
ENSMUSG00000032905	9.04021	8.05258	8.48629	6.68464	10.8099	8.17545	12.0291	8.54803	11.5407	
ENSMUSG00000032908	0.0669626	0.0923236	0.07707	0.452351	0.135242	0.0434619	0.228354	0.0799655	0.107135	
ENSMUSG00000032911	0.470172	0.594197	0.452052	0.348717	0.704521	0.662531	0.460921	0.843598	0.377235	
ENSMUSG00000032913	4.61349	4.24804	4.05868	7.40292	5.61278	5.1621	5.23623	4.75151	4.92104	
ENSMUSG00000032915	0.0540742	0.0152346	0.00809338	0	0	0	0	0	0	
ENSMUSG00000032921	0	0	0	0	0	0	0	0.0820367	0	
ENSMUSG00000032925	0.177879	0.20759	0.179204	0	0.221674	0.130419	0.221775	0.22373	0.105429	
ENSMUSG00000032932	4.2561	5.05442	6.28828	8.46529	8.52904	5.47374	7.29393	5.07775	6.09336	
ENSMUSG00000032936	5.01245	7.13489	6.95253	4.30549	4.65484	5.14094	4.85639	6.26724	5.44037	
ENSMUSG00000032937	0	0	0	0	0	0	0	0	0	
ENSMUSG00000032939	123.345	125.628	122.066	71.9929	71.5429	127.724	83.27	120.592	80.9821	
ENSMUSG00000032940	0.0831078	0.125091	0.0655877	0	0.0691338	0.0919826	0.155628	0.124695	0.133885	
ENSMUSG00000032942	0.0225069	0.0223009	0.0355365	0	0.168443	0.0526972	0.0637521	0.0674829	0.0571093	
ENSMUSG00000032946	53.0553	72.7835	56.77	55.264	53.267	49.7904	77.7391	58.8604	104.621	
ENSMUSG00000032948	0	0	0	0	0.0925331	0	0	0	0	
ENSMUSG00000032952	6.50265	6.51042	6.38504	6.02489	6.50555	7.03188	7.96389	8.15241	7.44283	
ENSMUSG00000032959	291.183	245.743	204.706	170.434	178.058	191.929	177.389	220.131	234.536	
ENSMUSG00000032965	7.08704	9.25156	6.65268	5.73972	7.70261	9.35349	6.09562	8.11062	7.70019	
ENSMUSG00000032966	206.759	216.267	201.528	201.799	159.74	192.325	153.163	193.084	200.134	
ENSMUSG00000032968	0.745101	0.588773	0.250364	0.892151	0.416052	0.742335	0.603829	0.592583	0.490696	
ENSMUSG00000032977	26.1585	30.7683	29.4592	30.1508	28.2812	32.3742	27.0622	32.3772	30.0912	
ENSMUSG00000032978	0	0	0	0	0	0	0	0	0	
ENSMUSG00000032985	0.186018	0.439248	0.0871479	0	0	0.116409	0.0631016	0.219445	0	
ENSMUSG00000032987	0	0	0	0	0	0	0	0	0	
ENSMUSG00000032988	0.520992	0.530323	0.302178	0.430421	0.117289	0.185519	0.247057	0.471704	0.243159	
ENSMUSG00000032997	10.8963	15.6108	13.8849	12.3583	9.51698	13.0204	8.87736	15.8099	11.3863	
ENSMUSG00000032998	14.1611	12.1703	13.9684	16.5709	16.4527	14.5564	14.8651	13.1741	14.5663	
ENSMUSG00000032999	9.70491	8.89494	7.0341	22.7576	18.456	9.18956	12.7234	9.05377	9.28819	
ENSMUSG00000033004	11.8151	10.6434	10.7353	10.3227	10.6971	11.2312	10.0637	10.0679	9.61895	
